local1,vs1,visitante1
C.A. SAN LORENZO DE A.,vs,C.A. BOCA JRS.
C.A. COLÓN,vs,C.A. INDEPENDIENTE
C. ESTUDIANTES DE L.P.,vs,C.A. N.O. BOYS
ARSENAL F.C.,vs,C. DE G. Y ESGRIMA L.P.
C.A. ROSARIO CTRAL.,vs,C.A. UNIÓN
RACING CLUB,vs,C.A. HURACÁN
C.A. RIVER PLATE,vs,C. OLIMPO (B. BLANCA)
C.A. BELGRANO (CBA.),vs,C.A. LANÚS
C.A. PATRONATO (E.R.),vs,C. DEP. GODOY CRUZ A.T.
C.A. CHACARITA JRS.,vs,C.A. VÉLEZ SARSFIELD
Fecha: 15,,11.02.18
C.S. Y D. DEF. Y JUSTICIA,vs,C.A. CHACARITA JRS.
C.A. VÉLEZ SARSFIELD,vs,C.A. PATRONATO (E.R.)
C. DEP. GODOY CRUZ A.T.,vs,C.A. BELGRANO (CBA.)
C.A. LANÚS,vs,C.A. RIVER PLATE
C. OLIMPO (B. BLANCA),vs,RACING CLUB
C.A. HURACÁN,vs,C.A. ROSARIO CTRAL.
C.A. UNIÓN,vs,ARSENAL F.C.
C. DE G. Y ESGRIMA L.P.,vs,C. ESTUDIANTES DE L.P.
C.A. N.O. BOYS,vs,C.A. COLÓN
C.A. INDEPENDIENTE,vs,C.A. SAN LORENZO DE A.
C.A. BOCA JRS.,vs,C.A.TEMPERLEY
C.A. TALLERES (CBA.),vs,C.A. BANFIELD
C. AT. TUCUMÁN,vs,C.A. SAN MARTÍN (S.J.)
C.A. TIGRE,vs,A.A. ARGENTINOS JRS.
Fecha: 16,,18.02.18
C.A. TIGRE,vs,C.S. Y D. DEF. Y JUSTICIA
A.A. ARGENTINOS JRS.,vs,C. AT. TUCUMÁN
C.A. SAN MARTÍN (S.J.),vs,C.A. TALLERES (CBA.)
C.A. BANFIELD,vs,C.A. BOCA JRS.
C.A.TEMPERLEY,vs,C.A. INDEPENDIENTE
C.A. SAN LORENZO DE A.,vs,C.A. N.O. BOYS
C.A. COLÓN,vs,C. DE G. Y ESGRIMA L.P.
C. ESTUDIANTES DE L.P.,vs,C.A. UNIÓN
ARSENAL F.C.,vs,C.A. HURACÁN
C.A. ROSARIO CTRAL.,vs,C. OLIMPO (B. BLANCA)
RACING CLUB,vs,C.A. LANÚS
C.A. RIVER PLATE,vs,C. DEP. GODOY CRUZ A.T.
C.A. BELGRANO (CBA.),vs,C.A. VÉLEZ SARSFIELD
C.A. PATRONATO (E.R.),vs,C.A. CHACARITA JRS.
Fecha: 17,,25.02.18
C.S. Y D. DEF. Y JUSTICIA,vs,C.A. PATRONATO (E.R.)
C.A. CHACARITA JRS.,vs,C.A. BELGRANO (CBA.)
C.A. VÉLEZ SARSFIELD,vs,C.A. RIVER PLATE
C. DEP. GODOY CRUZ A.T.,vs,RACING CLUB
C.A. LANÚS,vs,C.A. ROSARIO CTRAL.
